BARRAGES,HAUTEUR (m),CAPACITE DE LA RETENUE (Mm3),FONCTION
OULJET ESSOLTANE,98,510.00,I/AEP/PI/E
OUED MARTIL,100,120.00,AEPI/ PI/ I
TIMKIT,56,14.00,I/ AN/ AEP
DAR KHORFA,71,480.00,I/ AEP/ PI/ PE
SIDI ABDELLAH,68,10.50,AEP/ I/ PI/AN
M’DEZ,109,700.00,I/AEP/PI/E
KHARROUB,56,185.00,AEP
KADDOUSSA,62,220.00,AEP/ I/ PI
TARGA OUMADI,114,283.00,AEP/ I/ PI
TIDDAS,104,500.00,AEP/ I/ PI
RKIZA,26,17.00,Irr/ PI
OUED SEFROU,29,3.00,PI
EL ASMA,24,2.50,I
BOUSRAF,22,1.90,PI
SIDI LMANDRI,21,1.51,PI/Irr
TLAT JMAA,42,1.50,I
BOUASSAME,25.5,1.50,Irr/AC/AEP
AIN MECHLAWA,26,0.67,PI
BOUGHALIA,26,0.66,Irr/AC
BENI AMER( Pertui ouvert),15.5,0.37,PI
EL GHEZOUA,22,0.36,PI
ID BOUACHRA,26.6,0.28,AC
OUAGJDIT,44,1.20,PI
Assif Ouamrane,20,0.39,AC/I
Skoura,11,1.2,I/RN
Fougara,14,0.64,PI/AC/I
Koudiat Tamaloute-phase 2,11,2.14,PI/AC/I
Belkhadir,14,0.15,PI/AC/I
Saidia,10,0.3,PCI
Béni Amer,16,0.37,I/AC
Marrakech,26,0.65,PI/AC/I
Ain Smen,20,2.8,PCI/AN
Taourirte,25,0.8,PCI/AC/AN
Sidi Ali Belkacem,10,0.84,AC/AN
Amesra,27,0.4,AC/AN/PI
BOUSRAF,22,1.90,PI
SIDI LMANDRI,21,1.51,PI/Irr
TLAT JMAA,42,1.50,I
BOUASSAME,25.5,1.50,Irr/AC/AEP
AIN MECHLAWA,26,0.67,PI
BOUGHALIA,26,0.66,Irr/AC
BENI AMER( Pertui ouvert),15.5,0.37,PI
EL GHEZOUA,22,0.36,PI
ID BOUACHRA,26.6,0.28,AC
OUAGJDIT,44,1.20,PI
Assif Ouamrane,20,0.39,AC/I
Skoura,11,1.2,I/RN
Fougara,14,0.64,PI/AC/I
Koudiat Tamaloute-phase 2,11,2.14,PI/AC/I
Belkhadir,14,0.15,PI/AC/I
Saidia,10,0.3,PCI
Béni Amer,16,0.37,I/AC
Makrech,26,0.65,PI/AC/I
Ain Smen,20,2.8,PCI/AN
Taourirte,25,0.8,PCI/AC/AN
Sidi Ali Belkacem,10,0.84,AC/AN
Amesra,27,0.4,AC/AN/PI
